stem,object_frac,table_frac,y_bottom_px
Category-1_a_0008,0.1510,0.0781,820
Category-1_a_0022,0.1604,0.0781,834
Category-1_a_0023,0.1431,0.0781,834
Category-1_a_0026,0.1439,0.0781,820
Category-1_a_0028,0.1486,0.0781,830
Category-1_a_0035,0.1557,0.0781,834
Category-1_a_0055,0.1436,0.0781,828
Category-1_a_0057,0.1423,0.0781,828
Category-1_a_0059,0.1497,0.0781,822
Category-3_a_0045,0.1823,0.0781,824
Category-3_a_0057,0.1814,0.0781,846
Category-1_a_0000,0.1604,0.0781,824
Category-1_a_0001,0.1530,0.0781,834
Category-1_a_0002,0.1587,0.0781,826
Category-1_a_0003,0.1551,0.0781,820
Category-1_a_0004,0.1573,0.0781,824
Category-1_a_0005,0.1522,0.0781,826
Category-1_a_0009,0.1551,0.0781,824
Category-1_a_0010,0.1555,0.0781,832
Category-1_a_0011,0.1701,0.0781,834
Category-1_a_0012,0.1682,0.0781,832
Category-1_a_0013,0.1680,0.0781,830
Category-1_a_0014,0.1718,0.0781,828
Category-1_a_0015,0.1711,0.0781,822
Category-1_a_0016,0.1715,0.0781,836
Category-1_a_0017,0.1724,0.0781,826
Category-1_a_0018,0.1685,0.0781,824
Category-1_a_0019,0.1695,0.0781,824
Category-1_a_0020,0.1657,0.0781,826
Category-1_a_0021,0.1676,0.0781,820
Category-1_a_0024,0.1466,0.0781,820
Category-1_a_0025,0.1445,0.0781,828
Category-1_a_0027,0.1512,0.0781,856
Category-1_a_0029,0.1529,0.0781,838
Category-1_a_0030,0.1475,0.0781,828
Category-1_a_0031,0.1435,0.0781,818
Category-1_a_0032,0.1464,0.0781,826
Category-1_a_0033,0.1439,0.0781,828
Category-1_a_0034,0.1428,0.0781,824
Category-1_a_0036,0.1539,0.0781,824
Category-1_a_0037,0.1520,0.0781,832
Category-1_a_0038,0.1526,0.0781,824
Category-1_a_0039,0.1477,0.0781,826
Category-1_a_0040,0.1442,0.0781,826
Category-1_a_0041,0.1434,0.0781,824
Category-1_a_0042,0.1504,0.0781,820
Category-1_a_0043,0.1477,0.0781,828
Category-1_a_0044,0.1505,0.0781,822
Category-1_a_0045,0.1464,0.0781,838
Category-1_a_0046,0.1435,0.0781,828
Category-1_a_0047,0.1460,0.0781,818
Category-1_a_0048,0.1537,0.0781,824
Category-1_a_0049,0.1514,0.0781,828
Category-1_a_0050,0.1509,0.0781,824
Category-1_a_0051,0.1445,0.0781,824
Category-1_a_0052,0.1451,0.0781,824
Category-1_a_0053,0.1423,0.0781,834
Category-1_a_0054,0.1449,0.0781,820
Category-1_a_0056,0.1503,0.0781,822
Category-1_a_0058,0.1444,0.0781,828
Category-1_a_0060,0.1666,0.0781,832
Category-2_a_0000,0.1627,0.0781,824
Category-2_a_0002,0.6634,0.0781,826
Category-2_a_0003,0.2102,0.0781,830
Category-2_a_0004,0.7298,0.0781,834
Category-2_a_0005,0.1732,0.0781,824
Category-2_a_0006,0.6771,0.0781,832
Category-2_a_0007,0.2252,0.0781,830
Category-2_a_0008,0.7203,0.0781,830
Category-2_a_0010,0.7248,0.0781,828
Category-2_a_0011,0.2395,0.0781,830
Category-2_a_0012,0.7302,0.0781,834
Category-2_a_0013,0.2118,0.0781,832
Category-2_a_0014,0.6637,0.0781,828
Category-2_a_0015,0.2206,0.0781,828
Category-2_a_0016,0.7259,0.0781,830
Category-2_a_0017,0.2060,0.0781,828
Category-2_a_0018,0.7322,0.0781,836
Category-2_a_0019,0.1930,0.0781,830
Category-2_a_0020,0.5617,0.0781,834
Category-2_a_0021,0.2628,0.0781,832
Category-2_a_0022,0.6892,0.0781,838
Category-2_a_0023,0.2361,0.0781,828
Category-2_a_0024,0.7277,0.0781,832
Category-2_a_0025,0.1865,0.0781,834
Category-2_a_0026,0.7450,0.0781,850
Category-2_a_0027,0.1925,0.0781,834
Category-2_a_0028,0.6745,0.0781,830
Category-2_a_0029,0.2231,0.0781,836
Category-2_a_0030,0.7140,0.0781,828
Category-2_a_0031,0.1908,0.0781,846
Category-2_a_0032,0.6734,0.0781,824
Category-3_a_0000,0.1839,0.0781,828
Category-3_a_0001,0.1826,0.0781,830
Category-3_a_0002,0.1820,0.0781,832
Category-3_a_0003,0.1818,0.0781,824
Category-3_a_0004,0.1798,0.0781,828
Category-3_a_0005,0.1800,0.0781,822
Category-3_a_0006,0.1790,0.0781,824
Category-3_a_0007,0.1817,0.0781,822
Category-3_a_0008,0.1820,0.0781,832
Category-3_a_0009,0.1812,0.0781,824
Category-3_a_0010,0.1813,0.0781,828
Category-3_a_0011,0.1824,0.0781,828
Category-3_a_0012,0.1802,0.0781,834
Category-3_a_0013,0.1806,0.0781,836
Category-3_a_0015,0.1808,0.0781,824
Category-3_a_0016,0.1820,0.0781,828
Category-3_a_0017,0.1811,0.0781,834
Category-3_a_0018,0.1820,0.0781,826
Category-3_a_0019,0.1821,0.0781,832
Category-3_a_0020,0.1812,0.0781,830
Category-3_a_0021,0.1812,0.0781,834
Category-3_a_0022,0.1795,0.0781,836
Category-3_a_0023,0.1819,0.0781,820
Category-3_a_0024,0.1801,0.0781,832
Category-3_a_0025,0.1806,0.0781,832
Category-3_a_0026,0.1812,0.0781,828
Category-3_a_0027,0.1811,0.0781,824
Category-3_a_0028,0.1819,0.0781,834
Category-3_a_0029,0.1803,0.0781,828
Category-3_a_0030,0.1808,0.0781,824
Category-3_a_0031,0.1816,0.0781,828
Category-3_a_0032,0.1817,0.0781,824
Category-3_a_0033,0.1812,0.0781,828
Category-3_a_0034,0.1827,0.0781,826
Category-3_a_0036,0.1821,0.0781,830
Category-3_a_0037,0.1827,0.0781,850
Category-3_a_0038,0.1830,0.0781,832
Category-3_a_0039,0.1821,0.0781,834
Category-3_a_0040,0.1828,0.0781,834
Category-3_a_0041,0.1820,0.0781,828
Category-3_a_0042,0.1833,0.0781,876
Category-3_a_0043,0.1835,0.0781,830
Category-3_a_0044,0.1831,0.0781,824
Category-3_a_0046,0.1825,0.0781,824
Category-3_a_0047,0.1827,0.0781,822
Category-3_a_0048,0.1825,0.0781,838
Category-3_a_0049,0.1821,0.0781,834
Category-3_a_0050,0.1814,0.0781,826
Category-3_a_0051,0.1814,0.0781,820
Category-3_a_0052,0.1803,0.0781,820
Category-3_a_0053,0.1814,0.0781,838
Category-3_a_0054,0.0124,0.0405,982
Category-3_a_0055,0.1815,0.0781,826
Category-3_a_0056,0.1819,0.0781,830
Category-3_a_0058,0.1817,0.0781,832
Category-3_a_0059,0.1821,0.0781,834
Category-3_a_0060,0.1821,0.0781,838
Category-4_a_0000,0.3545,0.0781,822
Category-4_a_0001,0.1555,0.0781,820
Category-4_a_0002,0.1549,0.0781,824
Category-4_a_0003,0.1190,0.0781,828
Category-4_a_0004,0.1875,0.0781,826
Category-4_a_0005,0.2547,0.0781,822
Category-4_a_0006,0.3442,0.0781,832
Category-4_a_0007,0.3472,0.0781,840
Category-4_a_0009,0.3729,0.0781,820
Category-4_a_0010,0.3569,0.0781,824
Category-4_a_0011,0.3886,0.0781,822
Category-4_a_0012,0.3491,0.0781,834
Category-4_a_0013,0.1669,0.0781,844
Category-4_a_0014,0.2078,0.0781,822
Category-4_a_0015,0.2369,0.0781,834
Category-4_a_0016,0.7282,0.0781,838
Category-4_a_0017,0.3469,0.0781,830
Category-4_a_0019,0.1554,0.0781,826
Category-4_a_0020,0.1602,0.0781,826
Category-4_a_0021,0.1922,0.0781,824
Category-4_a_0022,0.1628,0.0781,830
Category-4_a_0023,0.1014,0.0781,820
Category-4_a_0024,0.2316,0.0781,824
Category-4_a_0025,0.1276,0.0781,828
Category-4_a_0026,0.1294,0.0781,830
Category-4_a_0027,0.1312,0.0781,820
Category-4_a_0028,0.1091,0.0781,834
Category-4_a_0029,0.1350,0.0781,826
Category-4_a_0030,0.2891,0.0781,826
