row,name,knob,stem,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M1,dropped pixels,drop 0.01,train/Category-1_a_0030,full,0.0723758,0.0001333,0.422141,68.0162,0.999883,0.00807517,0.985629,0.993357,0.868738,1,0.997312,0.947478,0.999941,0.972972
M1,dropped pixels,drop 0.01,train/Category-1_a_0030,object,0.0139121,5.48397e-06,0.178799,67.9817,0.999947,0.00386245,0.997221,0.999726,0.942142,1,0.998713,0.979331,0.999974,0.989411
M1,dropped pixels,drop 0.01,train/Category-1_a_0030,table,0.223893,0.000671357,1.59309,62.8302,0.999663,0.0167785,0.956209,0.966989,0.587999,1,0.994423,0.816176,0.999831,0.902614
M1,dropped pixels,drop 0.01,train/Category-1_a_0030,background,0.0682284,0.000103367,0.664085,69.1719,0.999893,0.00799976,0.986447,0.994845,0.801427,1,0.997337,0.923062,0.999946,0.960359
M1,dropped pixels,drop 0.1,train/Category-1_a_0030,full,0.505305,0.00132574,1.34878,58.0703,0.998851,0.0795872,0.903878,0.935862,0.637888,1,0.97382,0.81412,0.999426,0.898522
M1,dropped pixels,drop 0.1,train/Category-1_a_0030,object,0.088462,4.94426e-05,0.586231,57.4061,0.999461,0.0403476,0.982463,0.997531,0.822497,1,0.986641,0.930663,0.99973,0.962674
M1,dropped pixels,drop 0.1,train/Category-1_a_0030,table,1.44168,0.00685114,4.87034,53.2342,0.99685,0.158387,0.749509,0.709953,0.197218,1,0.948574,0.471683,0.998425,0.680999
M1,dropped pixels,drop 0.1,train/Category-1_a_0030,background,0.490256,0.00101145,2.1003,59.2498,0.998937,0.0791135,0.906602,0.950685,0.496536,1,0.973974,0.753589,0.999469,0.864507
M1,dropped pixels,drop 0.5,train/Category-1_a_0030,full,2.45069,0.00669232,2.99641,51.1006,0.994056,0.399707,0.612541,0.715613,0.36832,1,0.875259,0.544519,0.997028,0.722561
M1,dropped pixels,drop 0.5,train/Category-1_a_0030,object,0.419847,0.000247226,1.28818,50.7976,0.997446,0.195426,0.919459,0.987715,0.650904,1,0.936934,0.839254,0.998723,0.906795
M1,dropped pixels,drop 0.5,train/Category-1_a_0030,table,7.01656,0.0348375,10.9601,46.1453,0.983403,0.803547,0.245782,0.175191,0.025904,0.87151,0.765023,0.103707,0.927456,0.301307
M1,dropped pixels,drop 0.5,train/Category-1_a_0030,background,2.37699,0.00508071,4.69869,52.2281,0.994485,0.397886,0.621638,0.775664,0.208831,1,0.87579,0.465231,0.997242,0.667997
M1,dropped pixels,pool 2,train/Category-1_a_0030,full,5.10212,0.0145534,4.99946,45.9427,0.983888,0.902127,0.360442,0.483034,0.18891,0.864756,0.740293,0.320397,0.924322,0.526372
M1,dropped pixels,pool 2,train/Category-1_a_0030,object,0.909409,0.00060381,2.33343,43.4347,0.991019,0.533878,0.8337,0.970261,0.459411,0.781158,0.836976,0.718952,0.886088,0.79136
M1,dropped pixels,pool 2,train/Category-1_a_0030,table,14.4554,0.0758419,20.6461,41.0482,0.954905,1.8008,0.0555165,0.0225483,0.00102604,0.701607,0.548665,0.0108701,0.828256,0.0892011
M1,dropped pixels,pool 2,train/Category-1_a_0030,background,4.95732,0.0110277,7.27776,47.8769,0.985453,0.881623,0.371033,0.576151,0.0883967,0.92923,0.74537,0.266355,0.957341,0.486362
M1,dropped pixels,pool 4,train/Category-1_a_0030,full,6.22248,0.0209644,9.32189,39.9943,0.970727,1.2059,0.288086,0.350561,0.0447216,0.666476,0.669003,0.165298,0.818602,0.356881
M1,dropped pixels,pool 4,train/Category-1_a_0030,object,1.36003,0.00165952,5.04228,35.3373,0.966409,1.09541,0.76185,0.920373,0.186233,0.511243,0.694102,0.507337,0.738826,0.606529
