row,name,knob,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M1,dropped pixels,drop 0.01,full,0.0629557,0.000125991,0.450043,65.769,0.999883,0.00769569,0.987491,0.993721,0.861462,1,0.997438,0.945359,0.999941,0.971875
M1,dropped pixels,drop 0.01,object,0.0193243,1.18244e-05,0.294507,63.9632,0.999917,0.00556288,0.996145,0.999409,0.906956,1,0.998148,0.966431,0.999958,0.982769
M1,dropped pixels,drop 0.01,table,0.22425,0.000749302,1.49828,63.1111,0.99968,0.0157895,0.956143,0.963233,0.60729,1,0.994751,0.823797,0.99984,0.906847
M1,dropped pixels,drop 0.01,background,0.0715353,0.000125852,0.675874,68.5163,0.999886,0.00822699,0.985795,0.993729,0.798568,1,0.997261,0.921343,0.999943,0.959442
M1,dropped pixels,drop 0.1,full,0.439809,0.00124429,1.42015,55.7741,0.998822,0.0768818,0.915945,0.939718,0.628419,0.999043,0.974705,0.813413,0.998933,0.897813
M1,dropped pixels,drop 0.1,object,0.134896,0.00011831,0.926475,53.8891,0.999173,0.0553821,0.973502,0.994126,0.737782,0.993141,0.981723,0.892981,0.996157,0.940963
M1,dropped pixels,drop 0.1,table,1.45588,0.00733511,4.7216,53.1514,0.996822,0.15607,0.74743,0.693367,0.207655,1,0.949308,0.475459,0.998411,0.683718
M1,dropped pixels,drop 0.1,background,0.514916,0.00124724,2.14628,58.4753,0.998843,0.0823116,0.902153,0.939644,0.490905,1,0.972936,0.745912,0.999422,0.859847
M1,dropped pixels,drop 0.5,full,2.1181,0.00623272,3.18158,48.7808,0.993985,0.384836,0.657216,0.732936,0.361786,0.954798,0.879749,0.55466,0.974391,0.722378
M1,dropped pixels,drop 0.5,object,0.647505,0.000587249,2.07873,46.9297,0.995868,0.276973,0.881038,0.971631,0.512016,0.894613,0.912148,0.756625,0.945241,0.840419
M1,dropped pixels,drop 0.5,table,6.9594,0.0368268,10.6232,46.1488,0.983649,0.782639,0.248888,0.160396,0.0293117,0.871628,0.770391,0.10508,0.927639,0.303273
M1,dropped pixels,drop 0.5,background,2.48592,0.00620689,4.7999,51.481,0.994065,0.411761,0.608403,0.734943,0.205559,0.999705,0.871757,0.449266,0.996885,0.655523
