stem,decile,bright_lo,bright_hi,SAM,SID
train/Category-1_a_0030,0,0.0016,0.0380,32.1995,3.898789
train/Category-1_a_0030,1,0.0380,0.0425,12.8425,0.075611
train/Category-1_a_0030,2,0.0425,0.0443,12.1635,0.065731
train/Category-1_a_0030,3,0.0443,0.0468,11.6078,0.058950
train/Category-1_a_0030,4,0.0468,0.0506,10.9375,0.050672
train/Category-1_a_0030,5,0.0506,0.0545,10.1502,0.041971
train/Category-1_a_0030,6,0.0545,0.0605,9.3424,0.034502
train/Category-1_a_0030,7,0.0605,0.0714,8.0946,0.024890
train/Category-1_a_0030,8,0.0714,0.4763,5.2137,0.012342
train/Category-1_a_0030,9,0.4763,0.9820,0.7471,0.000407
train/Category-2_a_0002,0,0.0014,0.0381,32.5095,3.951928
train/Category-2_a_0002,1,0.0381,0.0479,12.3022,0.068550
train/Category-2_a_0002,2,0.0479,0.0682,9.7365,0.039953
train/Category-2_a_0002,3,0.0682,0.0892,6.3679,0.031259
train/Category-2_a_0002,4,0.0892,0.0969,5.1607,0.022659
train/Category-2_a_0002,5,0.0969,0.1068,4.7545,0.017798
train/Category-2_a_0002,6,0.1068,0.1933,3.9815,0.010180
train/Category-2_a_0002,7,0.1933,0.8874,1.3038,0.000751
train/Category-2_a_0002,8,0.8874,0.9632,0.5932,0.000112
train/Category-2_a_0002,9,0.9632,0.9992,0.5809,0.000105
train/Category-2_a_0006,0,0.0016,0.0386,32.1389,3.844510
train/Category-2_a_0006,1,0.0386,0.0490,12.2140,0.067354
train/Category-2_a_0006,2,0.0490,0.0771,9.1739,0.034402
train/Category-2_a_0006,3,0.0771,0.4842,2.3906,0.005129
train/Category-2_a_0006,4,0.4842,0.5377,0.9516,0.001476
train/Category-2_a_0006,5,0.5377,0.5779,0.8742,0.001130
train/Category-2_a_0006,6,0.5779,0.6146,0.8196,0.000930
train/Category-2_a_0006,7,0.6146,0.6532,0.7723,0.000807
train/Category-2_a_0006,8,0.6532,0.6912,0.7287,0.000706
train/Category-2_a_0006,9,0.6912,1.0000,0.6947,0.000469
train/Category-2_a_0013,0,0.0015,0.0273,32.8168,3.956934
train/Category-2_a_0013,1,0.0273,0.0407,14.3730,0.113455
train/Category-2_a_0013,2,0.0407,0.0423,12.7113,0.073886
train/Category-2_a_0013,3,0.0423,0.0438,12.2459,0.067660
train/Category-2_a_0013,4,0.0438,0.0458,11.7911,0.061693
train/Category-2_a_0013,5,0.0458,0.0491,11.2374,0.054114
train/Category-2_a_0013,6,0.0491,0.0532,10.5305,0.044787
train/Category-2_a_0013,7,0.0532,0.0590,9.7377,0.036086
train/Category-2_a_0013,8,0.0590,0.0783,8.3936,0.025942
train/Category-2_a_0013,9,0.0783,1.0000,2.9303,0.005541
train/Category-2_a_0020,0,0.0017,0.0386,31.9489,3.834790
train/Category-2_a_0020,1,0.0386,0.0443,12.5690,0.071424
train/Category-2_a_0020,2,0.0443,0.0503,11.2248,0.054141
train/Category-2_a_0020,3,0.0503,0.0646,9.8311,0.038471
train/Category-2_a_0020,4,0.0646,0.2522,5.6675,0.017000
train/Category-2_a_0020,5,0.2522,0.3089,1.6101,0.004739
train/Category-2_a_0020,6,0.3089,0.3576,1.3624,0.002613
train/Category-2_a_0020,7,0.3576,0.4203,1.1987,0.001602
train/Category-2_a_0020,8,0.4203,0.6006,1.0278,0.000636
train/Category-2_a_0020,9,0.6006,0.9983,0.7663,0.000217
train/Category-2_a_0028,0,0.0018,0.0386,31.4883,3.722880
train/Category-2_a_0028,1,0.0386,0.0491,12.1750,0.066872
train/Category-2_a_0028,2,0.0491,0.1407,8.9002,0.032283
train/Category-2_a_0028,3,0.1407,0.3195,1.8888,0.001795
train/Category-2_a_0028,4,0.3195,0.5673,1.3925,0.000974
train/Category-2_a_0028,5,0.5673,0.6607,0.8406,0.000445
train/Category-2_a_0028,6,0.6607,0.7116,0.7648,0.000358
train/Category-2_a_0028,7,0.7116,0.7627,0.7132,0.000302
train/Category-2_a_0028,8,0.7627,0.8018,0.6727,0.000262
train/Category-2_a_0028,9,0.8018,0.9990,0.6355,0.000190
train/Category-3_a_0030,0,0.0013,0.0378,32.7893,4.036722
train/Category-3_a_0030,1,0.0378,0.0419,12.9934,0.078216
train/Category-3_a_0030,2,0.0419,0.0435,12.3412,0.068679
train/Category-3_a_0030,3,0.0435,0.0453,11.8461,0.062724
train/Category-3_a_0030,4,0.0453,0.0481,11.3155,0.055854
train/Category-3_a_0030,5,0.0481,0.0522,10.6743,0.046994
train/Category-3_a_0030,6,0.0522,0.0569,9.9470,0.037980
train/Category-3_a_0030,7,0.0569,0.0661,8.9674,0.029448
train/Category-3_a_0030,8,0.0661,0.2205,5.8277,0.013511
train/Category-3_a_0030,9,0.2205,1.0000,1.3311,0.000635
train/Category-4_a_0001,0,0.0017,0.0374,30.4239,3.589006
train/Category-4_a_0001,1,0.0374,0.0425,12.8404,0.076182
train/Category-4_a_0001,2,0.0425,0.0442,12.1501,0.065442
train/Category-4_a_0001,3,0.0442,0.0463,11.6514,0.059367
train/Category-4_a_0001,4,0.0463,0.0494,11.0703,0.052086
train/Category-4_a_0001,5,0.0494,0.0530,10.3437,0.044716
train/Category-4_a_0001,6,0.0530,0.0582,9.7073,0.036890
train/Category-4_a_0001,7,0.0582,0.0704,8.5868,0.026707
train/Category-4_a_0001,8,0.0704,0.4323,4.7379,0.011085
train/Category-4_a_0001,9,0.4323,1.0000,0.8395,0.000394
train/Category-4_a_0006,0,0.0016,0.0381,30.3832,3.559949
train/Category-4_a_0006,1,0.0381,0.0438,12.6131,0.072156
train/Category-4_a_0006,2,0.0438,0.0479,11.5475,0.058071
train/Category-4_a_0006,3,0.0479,0.0526,10.5861,0.046513
train/Category-4_a_0006,4,0.0526,0.0582,9.5074,0.037467
train/Category-4_a_0006,5,0.0582,0.0715,8.1752,0.028086
train/Category-4_a_0006,6,0.0715,0.1252,6.7010,0.016311
train/Category-4_a_0006,7,0.1252,0.4209,2.5506,0.002647
train/Category-4_a_0006,8,0.4209,0.6930,0.8733,0.000546
train/Category-4_a_0006,9,0.6930,1.0000,0.6908,0.000291
train/Category-4_a_0014,0,0.0017,0.0380,31.8639,3.847498
train/Category-4_a_0014,1,0.0380,0.0448,12.3251,0.067906
train/Category-4_a_0014,2,0.0448,0.0473,11.3655,0.056522
train/Category-4_a_0014,3,0.0473,0.0506,10.7059,0.049491
train/Category-4_a_0014,4,0.0506,0.0547,10.1214,0.040354
train/Category-4_a_0014,5,0.0547,0.0578,9.5871,0.034583
train/Category-4_a_0014,6,0.0578,0.0625,9.0657,0.030281
train/Category-4_a_0014,7,0.0625,0.0862,8.0934,0.024145
train/Category-4_a_0014,8,0.0862,0.4359,2.5949,0.005967
train/Category-4_a_0014,9,0.4359,1.0000,0.8654,0.000346
train/Category-4_a_0017,0,0.0020,0.0375,31.3230,3.722540
train/Category-4_a_0017,1,0.0375,0.0470,12.1423,0.066476
train/Category-4_a_0017,2,0.0470,0.0527,10.3737,0.046957
train/Category-4_a_0017,3,0.0527,0.0575,9.6318,0.037690
train/Category-4_a_0017,4,0.0575,0.0642,8.7977,0.029229
train/Category-4_a_0017,5,0.0642,0.0691,8.1390,0.024171
train/Category-4_a_0017,6,0.0691,0.1349,6.5538,0.016414
train/Category-4_a_0017,7,0.1349,0.3046,2.8480,0.003334
train/Category-4_a_0017,8,0.3046,0.5014,1.2342,0.001229
train/Category-4_a_0017,9,0.5014,1.0000,0.8328,0.000460
train/Category-4_a_0024,0,0.0018,0.0375,32.6193,3.990871
train/Category-4_a_0024,1,0.0375,0.0421,12.9601,0.078358
train/Category-4_a_0024,2,0.0421,0.0439,12.2704,0.067508
train/Category-4_a_0024,3,0.0439,0.0462,11.7330,0.060763
train/Category-4_a_0024,4,0.0462,0.0498,11.0965,0.052713
train/Category-4_a_0024,5,0.0498,0.0544,10.2796,0.042879
train/Category-4_a_0024,6,0.0544,0.0640,9.3660,0.033185
train/Category-4_a_0024,7,0.0640,0.2136,6.5774,0.018231
train/Category-4_a_0024,8,0.2136,0.3616,1.7130,0.003519
train/Category-4_a_0024,9,0.3616,1.0000,0.9861,0.000416
